user_id,item_list
1,1 2 3 4 6 8 10 25 36 101
2,2 3 4 5 6 8 9 11 19 28
3,1 2 3 4 5 9 59 259 536 584
4,1 2 3 4 5 6 7 9 28 50
5,2 3 4 6 7 8 9 14 19 20
6,2 3 6 7 8 9 14 19 20 22
8,2 3 4 6 7 8 11 14 20 22
9,36 180 836 1581 2159 6819 8802 9858 15289 17106
10,1 2 3 4 5 6 7 8 17 47
11,2 4 6 7 9 20 31 40 44 58
12,2 6 7 9 16 19 20 22 24 33
13,2 3 7 10 39 41 55 58 76 376
14,1 3 4 6 7 8 10 14 17 28
15,1 2 3 4 5 6 7 8 17 28
16,1 2 3 4 6 7 8 10 15 29
17,1 2 3 4 5 6 7 11 16 19
18,1 2 3 4 6 7 8 14 20 24
19,1 2 3 4 7 8 10 101 154 252
20,1 2 3 4 7 20 129 134 313 467
21,1 2 3 4 5 6 7 8 9 17
23,1 2 4 5 6 7 8 9 10 31
24,88 176 431 553 601 845 1193 2631 3279 6853
25,4 10 14 15 46 51 132 423 1309 2264
26,2 3 4 5 6 8 9 15 41 58
28,3 5 7 8 9 11 14 19 20 47
29,1 2 3 4 6 7 17 28 47 50
30,1 3 4 6 7 8 9 10 19 23
32,2 4 10 11 15 51 85 113 379 1393
33,1 2 3 4 6 7 8 19 20 22
34,6 51 75 81 87 88 107 202 365 567
35,3 8 139 146 165 254 314 316 474 996
36,3 4 6 11 14 15 16 19 20 22
38,2 3 4 7 8 11 14 19 20 101
39,1 2 3 4 6 7 8 16 20 36
40,1 3 4 7 9 14 17 19 20 31
41,1 4 5 6 8 9 20 31 55 58
42,1 2 3 4 7 8 9 10 15 20
43,1 2 3 4 6 7 8 15 16 21
44,1 2 3 4 6 7 8 9 15 30
45,1 2 3 4 6 7 8 10 14 21
46,1 2 4 6 8 14 19 20 22 48
47,2 3 4 10 14 15 20 25 38 96
48,1 2 4 6 7 14 17 28 37 47
49,2 3 4 5 6 7 8 9 20 32
50,1 2 4 6 7 8 9 24 67 143
51,2 3 4 7 11 16 19 22 24 25
52,1 2 3 4 7 8 15 94 133 262
53,9 70 254 269 859 1338 1374 1424 3687 5826
54,1 2 3 4 6 8 11 15 19 48
55,39 40 283 388 847 858 1149 1670 2172 6286
56,1 4 6 7 8 9 15 19 20 99
57,1 2 3 4 5 6 7 10 104 144
58,1 2 3 4 6 7 8 10 36 101
59,1 2 3 4 6 7 8 11 38 101
60,1 2 3 4 6 7 8 9 15 20
62,1 2 3 4 6 7 8 15 25 36
63,1 2 3 4 6 7 8 9 14 20
64,1 2 3 5 6 7 9 10 36 41
65,1 2 3 4 6 7 8 9 15 20
67,2 4 6 7 8 14 17 19 22 28
68,2 3 4 6 7 8 10 15 25 96
69,2 3 4 6 7 8 14 19 20 22
