user_id,item_list
1,9452 11060 11323 12557 14683 17726 18941 18951 21766 21843
2,12116 12589 14617 14897 14939 17726 19207 19787 20322 22205
3,12116 14897 18209 18983 19207 19787 20544 20555 21801 22205
4,11479 13571 14501 14617 14897 17225 19774 20322 20777 21386
5,13294 13745 14840 15159 17121 18122 18638 20233 21403 21686
6,3923 12528 17464 18585 19047 19207 19774 19787 20322 22205
8,8775 13597 14897 14939 17413 17726 18270 18852 20322 22205
9,10140 15504 16123 17121 17391 18649 19207 19639 20311 20555
10,10009 11708 14897 14904 16026 17317 17952 19105 20599 21766
11,11625 15504 17391 17413 17464 18339 19207 19555 20555 21841
12,10009 11611 16685 17121 17931 18406 19105 20209 21766 22342
13,8310 9930 10935 11479 14964 17350 18251 19577 19774 20155
14,13294 14501 14638 16550 17726 19030 19047 20599 21311 21766
15,10145 13571 14033 14092 15959 17413 17464 18649 19314 21386
16,12578 13294 15159 17323 18406 18941 18951 18977 19338 22215
17,3923 11449 13347 14706 16123 17464 18505 19207 20750 20990
18,8571 13625 14317 17078 17413 19624 19774 20391 20541 20558
19,9554 10145 10797 11625 16295 18406 19639 20328 20683 21225
20,6161 12528 14501 17225 18941 19047 20322 20361 20990 22205
21,12116 14501 14897 17726 17837 18983 19207 19639 20555 22205
23,7481 8533 10145 10754 11385 14683 16939 17413 19696 22215
24,5679 8657 14428 14501 14897 17464 18397 18983 20701 20990
25,10145 11625 13571 14033 18406 18649 19639 20172 20322 21869
26,3923 7481 8528 11385 14683 17464 17476 18790 20322 20990
28,8520 11486 13571 14897 18852 19035 20322 20328 20544 21766
29,3923 11060 12528 14501 14617 17464 19047 19207 19787 20322
30,12116 13221 14710 14731 19207 19261 19787 20322 20555 22205
32,3923 12557 13294 14731 15095 18339 19207 20538 20592 21648
33,5679 11542 14897 16685 17726 18951 19105 20209 21766 22342
34,14710 16080 17345 18585 19207 20328 20544 20555 21858 22205
35,10117 12116 14501 14617 14897 17413 18983 19639 20777 22342
36,10797 13636 14206 17121 17356 17931 18465 19105 20544 21766
38,13294 13636 14638 14710 15159 16685 17128 19105 20209 21766
39,16123 16573 17093 17464 18339 18983 19153 19207 20538 22239
40,7882 14424 16123 16685 18246 18374 18983 19267 19639 21766
41,3923 13294 14710 14731 15159 17323 18585 19207 20390 20555
42,3923 8520 12528 13597 17413 18024 18852 18980 19696 20322
43,10797 14710 15159 16685 17128 17323 19145 20209 20390 20555
44,12578 14092 14731 17464 18430 18585 19207 19896 20555 20831
