user_id,item_list
1,14338 15331 15513 16587 17204 17570 20409 21801 22077 22147
2,7215 10857 11624 14212 17570 17781 19767 20409 22077 22147
3,7215 12456 14212 15331 15513 16375 16582 18899 21628 22147
4,8730 11842 14338 15331 16388 16544 16836 17570 19011 22147
5,4438 8743 14100 14338 15513 16323 16836 17591 18557 21628
6,12240 14338 15331 15513 16582 17570 20327 20409 21628 22147
8,11293 14500 14627 15513 19767 20327 20409 21632 22043 22147
9,14338 14500 15513 16544 17570 18557 20327 20409 22043 22147
10,12240 12554 13171 15331 15513 17475 17570 18895 19353 21681
11,8582 9786 14212 14500 15331 17204 17363 20409 21152 22147
12,7663 12014 14338 15331 15953 16388 18789 20409 20588 21152
13,9063 13354 14262 15513 16365 16587 18002 20409 20563 21544
14,5182 5873 13924 14338 15513 16544 16836 18557 21828 21923
15,7429 11217 13601 15513 15658 16981 19767 20229 20409 22147
16,2720 8743 9060 9222 12977 17570 19274 20409 21828 22147
17,3031 10695 11293 12826 14077 14627 15513 16323 19168 22147
18,2720 3543 8582 11217 16618 17570 19274 20409 22043 22147
19,12240 13354 13601 15513 15658 16323 16582 17854 19767 22147
20,9060 9105 11264 11493 11842 15069 15513 17475 20409 21544
21,7214 12150 14077 14500 17781 19274 19767 20409 22077 22147
23,3868 6234 9334 9595 9734 12092 12240 16323 20409 22147
24,8582 9105 12240 14077 14100 14262 19470 20409 20503 22147
25,7149 8743 11264 14262 14338 15331 15513 17027 18856 20409
26,6665 7691 14212 14602 15328 15332 16082 16544 22071 22147
28,13354 13601 15513 16323 16981 17781 20351 21370 22043 22147
29,8582 12240 13334 14313 15513 16928 19501 20409 21681 22147
30,5709 7215 8743 14212 15513 16582 16587 20409 21801 22147
32,9373 13601 14338 14500 14627 15513 16582 16587 20409 21801
33,4883 8743 14338 15020 15513 17570 17781 20409 22043 22147
34,14212 14338 14500 15513 16544 17570 17781 20409 22043 22147
35,3553 8730 11057 14730 15513 18557 21801 21854 22043 22147
36,8582 9060 9222 14500 17570 17781 19767 20409 22077 22147
38,2720 8407 14262 14500 16323 19274 19767 20409 22043 22147
39,9222 11842 14338 15513 16544 17570 18149 19991 20232 20503
40,3543 4883 8743 11823 14338 15331 16856 19274 20409 22045
41,3070 4155 15513 18699 18789 18846 20409 21802 22043 22147
42,2720 9060 11304 13012 15513 16375 18856 19353 20327 22077
43,5709 8743 9060 14338 15331 15513 16836 18947 19274 20409
44,9222 14338 15331 15513 16311 17570 19167 20192 20409 22045
45,7215 9073 14212 14338 16547 17570 18947 20409 22077 22147
46,3031 11217 14500 14627 15513 16618 20409 22043 22077 22147
47,12240 15515 16323 16582 18856 19168 20327 20409 21628 22147
48,5674 8743 10593 14338 15513 16375 16544 17781 21802 22147
49,8582 10277 14706 16866 17570 19767 20409 22077 22147 22260
50,2720 8521 12456 15953 17570 19864 20409 22043 22068 22147
51,3031 7568 8582 10192 14313 15513 17570 19840 20327 22147
52,4883 5630 5709 15513 15960 16836 17570 18947 19011 20409
53,2720 7215 9786 14212 14338 14500 19763 20409 22043 22147
54,11217 14627 15513 16323 17164 17475 18465 19274 20409 22147
55,3031 7663 12240 14338 15513 16388 16587 20409 22043 22147
56,10051 13437 14338 15331 16115 16582 17027 17570 20409 21828
57,4883 7877 8337 9222 11217 13848 16587 17570 18649 20409
58,7095 9015 9105 13334 14338 16388 19274 20368 20409 22043
59,2720 3543 8582 11217 14338 14844 20409 21802 22043 22147
60,1 2 3 4 6 7 8 9 15 20
62,2720 13354 14712 15513 15960 17570 19011 20409 22043 22147
63,10615 10879 11175 14338 15331 15513 18639 19274 20409 21628
64,2720 7215 8791 15708 15841 16039 16866 17570 18557 21828
65,1 2 3 4 6 7 8 9 15 20
67,7856 10219 11217 11842 13354 14100 15513 17570 19767 22147
68,14212 14500 14602 15513 15807 17781 20327 21802 22077 22147
69,7215 11293 14338 14500 16286 16544 18557 20409 22043 22147
70,14964 15020 17570 17599 18899 19274 20409 21698 21828 22147
72,4883 8743 14212 15513 16587 17781 18149 19274 21828 22043
73,9105 10695 11217 12792 14262 15513 16323 16587 19274 20409
74,5182 15513 17570 17781 18899 19274 19767 20409 22043 22147
75,2675 3923 6234 9595 10991 11111 12902 14830 16323 20295
76,3553 5182 8247 11264 12962 14964 15513 20409 21544 21681
77,7215 12240 14212 14338 15331 17570 18899 19767 22127 22147
78,10695 14500 14627 15513 16286 16323 16981 17781 20351 22147
79,3543 9356 11264 14338 18738 19274 19767 20409 20503 21702
81,7215 14023 14338 14500 16388 16544 17570 20409 21923 22147
82,8743 10857 11264 11842 14338 15513 16544 20503 21802 22147
83,7300 8337 12240 15331 15807 17570 18856 20409 20503 22147
84,9063 12554 14338 14627 15513 16388 18557 19274 20409 22043
85,11264 12240 13996 14645 17316 18856 18947 19274 20409 20503
86,5936 6496 7877 8449 9073 14212 16587 19056 20503 22147
88,4883 10593 14338 15513 16485 18505 18789 20409 21952 22068
89,4883 5709 8743 14212 14338 14500 15513 16587 19274 20409
90,8582 11217 15331 15807 17475 17570 18649 19274 20028 20409
91,7215 12342 14338 14630 15331 16547 18899 20409 21628 22147
92,4155 4883 6496 12240 14499 17570 18149 18947 20232 22147
93,3543 7215 13996 14212 14338 15331 15953 17363 19274 22127
94,5182 8582 9060 9105 9702 13517 17228 17570 19767 20409
95,4883 8337 9222 15807 17570 18505 19353 19767 22077 22147
96,3031 8743 11217 12240 14338 15020 15247 15513 17570 22147
97,10615 13354 15513 15515 15960 16582 16836 18538 20409 21801
98,6496 7300 10593 12240 12456 12705 14500 20327 20409 22147
99,7215 10593 14212 14338 14500 14602 19274 20327 20409 22147
100,2720 3543 9734 12240 14338 15331 17570 20327 21923 22147
101,7215 8857 14212 14500 14602 15515 18899 20409 21628 22147
102,11293 14338 14500 15599 16051 16544 17781 20409 20532 22043
103,2720 7417 9060 9105 9222 14500 19274 20409 21936 22147
104,11842 12456 14338 15513 16544 17204 17570 18557 20409 22068
105,7215 8582 9222 14338 14500 17570 21923 22075 22077 22147
107,2720 7164 7215 8808 9186 14212 14848 19274 20955 22147
108,7215 8857 12240 14212 14500 17570 18899 19274 22077 22147
109,2720 5182 8743 11264 14338 19274 20409 21544 22043 22147
110,2720 3631 8582 11624 12240 14706 15331 21152 21492 22147
111,3543 6496 6834 12456 14338 16547 20327 20409 21628 22147
112,11057 14119 14338 15513 16544 17781 18557 19168 21828 22147
113,7215 9060 12240 14212 14500 16221 17363 17570 20409 22147
114,2720 12240 12456 17570 18856 19767 20409 20503 21544 22147
115,3031 6496 8743 14338 14484 15020 15513 16587 17570 21923
116,8309 11288 11842 12240 14500 15515 19168 20327 21628 22147
117,8521 9595 11217 12240 15020 15283 15807 17570 18729 19168
118,3543 7215 14212 14338 15513 15544 17570 19274 22043 22147
119,5709 9060 9222 11304 14706 17570 18895 19353 19767 22018
121,7300 8337 12240 15331 16538 19351 19469 20327 20409 22147
122,3543 8582 15331 15513 16365 17570 19530 19767 19840 21693
123,9734 10320 11842 12705 16743 18035 20327 20409 21802 22147
124,4421 14212 14499 14960 17570 17781 18149 18899 21235 22147
126,7215 9060 14100 14338 14500 15331 19013 20409 22075 22147
127,3061 8986 11624 14100 15513 15516 15596 17475 21137 21626
128,8592 8743 11264 14338 15513 17475 19274 20028 20160 20409
129,5389 9060 11624 13354 14100 17475 18380 19846 22057 22147
130,5956 7223 9219 11886 13354 15513 16587 20119 20409 22043
131,9565 13334 14500 14602 16051 16388 16544 17781 20409 22147
132,2720 8521 10763 12977 14212 16836 17204 17570 19274 20409
134,8449 9105 12240 14262 15331 16582 19274 20409 20473 22147
135,7149 7215 11624 14100 14338 15331 16003 18895 20409 22147
136,11293 15294 16286 16547 17781 17845 18155 19750 20409 22147
137,8521 9060 9222 10051 12516 16658 17570 18355 19756 21828
138,9901 12977 13354 14903 15513 16587 17570 18899 19767 21801
139,8337 9105 13334 15516 16587 17204 17570 18810 19167 20409
140,3031 8582 11217 12240 15513 19846 20327 20409 21802 22147
141,6529 8743 8791 9222 11919 14212 15513 16544 17570 22018
142,6395 9999 13354 15513 15960 16375 18899 18947 19767 22147
143,2720 8743 14338 16544 19274 19763 19767 20409 22043 22147
144,4883 8582 13601 14338 14903 15331 15513 18899 19274 20409
145,5547 7429 11217 11293 14262 15513 16587 16866 20409 22043
146,5532 7545 10450 17570 17636 18738 20034 20409 22043 22068
147,3543 7215 8582 9702 10732 14338 19274 20409 20503 22075
148,11293 14262 14500 15513 16286 16388 16587 20409 22043 22147
149,8449 14212 15042 15513 16375 18789 18856 20327 20409 22043
151,12342 13601 13810 14212 15513 16582 16981 18557 22043 22147
152,2720 9734 11842 13751 13996 15331 17570 19840 20327 22147
153,2720 8743 14212 14338 15513 19274 20409 21628 22043 22147
154,3543 8743 11217 12146 14133 14338 16082 19274 20409 20503
156,14338 15331 15513 16544 18505 18557 20327 20409 21681 22147
157,3113 8337 9018 10874 12180 15331 15829 17845 18639 19530
158,8743 9087 13601 14338 15331 15513 16375 17781 18505 21985
160,8790 8808 13993 13996 16323 16864 17552 18155 22043 22147
163,5182 12456 12962 14964 17570 19274 20232 20409 21681 22068
164,6234 8337 9105 12240 14262 14500 15331 19274 20409 22147
165,3543 9222 14338 15331 15513 17204 17570 18505 20409 20503
167,7300 9060 9222 12240 14338 15331 17570 20327 20409 22147
168,1 2 3 4 6 7 8 9 15 20
171,2720 4883 8791 16576 16658 16866 17570 20368 20409 21828
172,5532 7429 11842 11919 15513 16587 16866 17570 20409 22043
173,2720 5630 7215 8582 9060 15331 18899 18947 21802 22147
174,8582 14500 14645 17570 19274 19767 20409 22043 22077 22147
175,6889 8449 10051 13601 14212 14338 16582 16587 17570 20409
177,8582 10695 11217 14077 14964 17164 17570 19274 19767 22077
178,2720 3543 9186 14338 14706 15331 15513 18557 20409 22147
181,7215 9105 11293 13334 14100 14338 14500 17781 20409 22147
182,2720 3031 13128 13996 15331 15513 17570 20327 21492 22147
183,4421 8582 12240 12554 14500 17228 17475 17570 20327 22147
184,3031 3543 6496 8743 14338 18729 19274 20409 21802 22147
185,2720 6834 10006 12240 14706 17570 18856 18895 18947 20503
187,5630 7215 9060 9105 14500 16473 16587 17781 20409 22147
188,8173 12240 12342 14077 14100 14262 16587 19501 20409 21801
189,7052 7149 9105 9481 12877 14630 15331 19274 20409 22005
191,3553 13354 14372 15513 15544 16323 20409 22043 22147 22310
192,3031 11217 13354 14338 15513 17570 17781 20409 22043 22147
193,5982 8808 10865 12240 13996 15247 15331 18899 20206 22147
194,9595 11217 12792 14262 14964 15513 17570 18010 20409 21681
196,2720 3543 8521 9186 12456 15331 16375 19274 20409 22147
197,12240 13334 13613 14077 17127 17570 19767 20409 22147 22310
198,14338 14627 15020 15331 15513 16981 17570 17781 20409 22147
199,2720 10897 16039 16547 16576 17570 18947 19387 20409 22147
200,7215 11624 15331 15513 17475 17570 17939 20327 21802 22147
201,13601 14100 14338 14844 15513 16981 17570 19767 20409 22147
202,6803 8226 8521 9334 10629 10695 11217 19245 20351 20409
203,9105 11293 13334 14500 15299 17781 20409 21628 22043 22147
205,9747 11293 14627 15347 15513 16388 17781 18959 20409 22043
206,3543 12456 12756 15020 15331 15513 17570 17781 18899 22147
207,8449 8743 14212 14313 14338 19274 20083 20409 22043 22147
