user_id,item_list
1,36 101 123 506 403 515 694 52 1546 592
2,1095 47 12 50 1522 28 656 196 102 949
3,59 857 4252 2172 259 239 536 648 956 1281
4,249 28 50 139 7 314 146 171 254 136
5,1570 170 77 95 131 1511 5138 471 1220 116
6,886 874 88 35 9 395 168 104 184 141
8,210 443 451 722 3916 600 480 366 95 1094
9,9018 2282 2821 10108 17799 316 554 4535 4802 6415
10,1816 1446 561 1668 2617 2565 2423 3905 67 1767
11,40 31 58 67 955 99 34 185 514 32
12,4704 2582 261 329 2242 325 408 2781 212 1090
13,1316 2403 11016 10234 1875 11747 9817 11048 9813 11174
14,1050 297 1244 164 90 2909 345 571 871 1102
15,236 308 1107 6957 388 707 220 35 653 983
16,7 29 617 9752 946 1569 1346 1463 1692 3198
17,43 19 80 98 50 11 44 16 57 47
18,332 255 2 766 3226 192 973 179 617 3967
19,3571 154 252 764 9442 8473 8044 636 9482 236
20,279 467 573 134 313 376 242 129 192 482
21,152 405 2 786 1111 873 458 189 164 528
23,1279 2295 3351 82 1290 6111 754 8444 983 6066
24,18934 4937 13156 3852 2247 8516 7562 22124 6326 21587
25,1309 51 107 485 6105 1873 4358 4089 19548 18088
26,269 139 254 41 252 15 1005 34 314 1089
28,47 11 19 133 325 41 39 136 843 146
29,1555 28 627 516 77 4688 43 60 681 4121
30,17058 23 17056 57 160 259 15355 71 98 1259
32,379 1393 2316 2734 1986 418 2418 1946 550 1289
33,1510 4904 435 11199 264 6937 496 1631 1807 871
34,888 434 812 1159 10001 8930 567 3602 3190 121
35,314 139 254 146 165 996 1079 3847 1939 474
36,4 181 202 16 183 2205 1578 379 103 283
38,101 161 11 4360 710 262 287 5843 28 1906
39,1057 8 36 101 165 304 281 1 269 139
40,31 17 58 174 47 19 76 9 2546 42
41,31 55 58 77 618 592 66 148 175 60
42,1310 5744 249 1369 329 252 829 293 4013 308
43,238 149 15 21 372 1369 36 8 683 135
44,499 215 267 7 133 289 439 843 81 457
45,202 15 21 62 783 101 1230 3177 4030 413
46,2253 4116 1505 4126 322 74 228 1218 394 22
47,96 214 38 211 344 442 1635 262 154 929
48,28 332 17 47 296 6 7 27 37 1337
49,116 148 182 344 32 138 5 45 96 214
50,67 177 481 199 634 748 278 143 235 238
51,238 428 625 42 919 678 4 28 1014 566
52,94 438 498 146 178 133 1395 81 15 262
53,3970 859 6472 3687 7075 6471 720 4819 6273 9043
54,19 238 2 174 6 278 769 8 112 157
55,5255 6617 12798 13878 6095 6941 786 1474 10578 2859
56,384 99 1198 1342 831 262 116 2531 738 933
57,160 648 159 536 956 186 117 104 2043 582
58,2404 101 3945 433 36 582 693 308 161 1546
59,612 93 4462 353 415 1190 261 214 5051 1551
60,16 161 15 222 133 205 237 354 544 1108
62,238 85 291 106 278 411 3575 583 3059 950
63,1316 1668 624 978 1051 3011 4042 4833 80 34
64,41 36 379 5 524 3438 7128 303 5360 98
65,16 161 15 222 133 205 237 354 544 1108
67,181 739 6203 111 23 205 13 122 3039 244
68,281 96 138 324 1151 1994 546 178 344 743
69,25 95 14 46 1372 371 1471 1244 16 1227
70,67 2 614 413 135 1 709 2741 33 631
72,7169 9653 7454 8620 10901 10910 41 39 58 76
73,125 998 21 516 1728 10057 4252 701 2105 120
74,11 27 47 42 388 815 1004 197 145 1897
75,19 184 56 124 1028 702 9 191 80 258
76,66 31 1124 77 2401 40 55 304 556 1532
77,1903 771 285 7 216 600 722 443 778 682
78,546 751 155 7212 281 14083 939 63 2803 17
79,138 208 85 344 66 77 146 21 171 1070
81,7600 2599 664 705 22 135 9404 1999 77 790
82,55 76 49 181 33 23 65 542 1341 71
83,1083 117 1214 1288 5 2237 486 805 572 510
84,411 583 1537 905 41 31 1497 2243 76 39
85,116 60 41 31 39 458 405 909 17 1539
86,154 28 786 17 398 27 47 11 1326 298
88,346 99 1222 133 1089 11531 139 2725 262 60
89,138 154 433 186 324 344 59 12673 12672 1522
90,21 98 64 144 104 109 56 2006 1220 192
91,90 1406 82 884 915 168 104 258 187 240
92,147 471 140 2988 1225 9622 4458 19606 829 2299
93,95 220 768 1024 532 28 537 17 496 174
94,28 42 11 498 51 1020 6 74 2259 136
95,482 44 2456 16 4 2178 112 339 1842 567
96,72 766 1264 617 1346 483 601 10834 14746 21449
97,654 1777 923 7604 2364 125 2114 1673 910 132
98,7839 8688 11765 21 29 13600 13494 10 109 17162
99,138 96 64 57 511 204 527 500 995 117
100,313 99 764 636 1050 851 63 262 50 11
101,2314 82 837 754 1177 526 137 282 1207 707
102,67 7055 2904 2284 5724 2958 1795 2283 2843 2585
103,694 1481 901 751 155 98 13 53 97 43
104,119 299 252 23 71 112 89 639 2 290
105,8752 21 6820 885 19078 18668 6804 9257 190 141
