user_id,item_list
1,36 101 123 403 506 515 694 254 52 592
2,1095 47 28 12 196 102 656 1522 50 3176
3,59 857 239 259 4252 584 536 648 956 1281
4,28 249 50 7 171 139 314 254 612 639
5,1570 77 131 95 5138 170 1511 471 116 148
6,886 874 88 184 9 395 35 168 104 141
8,210 443 451 480 600 722 3916 1130 95 1094
9,9018 2282 2821 10108 17799 20079 6415 4535 4802 13038
10,1816 1446 561 1668 2617 2423 2565 3905 1767 3721
11,40 31 58 67 955 34 99 93 514 185
12,4704 2582 261 329 408 2242 262 2781 325 353
13,1316 2403 11016 10234 9817 11048 11747 9813 1875 11174
14,1050 297 164 571 1244 90 345 28 2671 1076
15,236 308 6957 1107 220 388 653 35 13250 1440
16,7 617 29 9752 1346 1569 946 1463 3198 1692
17,43 19 98 80 11 50 44 47 57 17
18,332 255 766 192 179 3226 973 617 2 1099
19,3571 252 154 764 9442 8473 8044 636 9482 10660
20,467 313 376 573 279 134 242 129 10 192
21,152 405 2 786 1111 873 189 442 580 14140
23,1279 2295 6111 3351 82 1290 8444 754 983 10348
24,3279 13156 18934 4937 3852 2247 7562 21587 16882 17156
25,1309 485 6105 19548 18088 17605 5357 4778 3594 11724
26,269 139 254 314 41 15 34 292 252 612
28,47 11 133 19 146 41 39 325 843 55
29,1555 28 627 4688 17 47 77 681 43 60
30,17058 17056 23 160 57 259 15355 71 21010 98
32,379 1393 2316 2734 1986 18 2418 1946 418 1400
33,4904 1510 435 264 1807 496 11199 8 95 571
34,888 434 1159 812 10001 8930 3602 567 3190 658
35,314 254 139 146 165 3847 1939 1079 996 4593
36,181 16 2205 183 4 165 379 1578 139 202
38,101 11 4360 161 28 94 262 287 439 99
39,1057 36 101 165 8 281 139 304 318 269
40,31 17 58 47 174 76 19 9 42 201
41,31 58 55 618 77 592 66 148 175 60
42,5744 1310 249 252 1369 329 4013 293 829 299
43,238 149 15 36 1369 372 104 21 2996 35
44,499 215 267 7 133 81 197 457 439 289
45,202 15 783 21 101 1736 4030 3177 10 62
46,2253 1505 4126 4116 1218 228 22 322 2602 7261
47,96 38 214 211 344 442 262 1635 85 929
48,28 17 332 47 296 27 7 1337 37 4636
49,116 148 182 32 344 138 96 45 5 214
50,67 177 199 481 748 634 143 235 2282 1174
