user_id,item_list
1,3 36 4 1 2 8 101 6 9 41
2,2 4 3 6 11 8 9 14 5 15
26,2 3 4 41 139 9 15 6 58 55
36,4 6 3 20 14 19 15 22 41 31
41,31 58 55 4 1 6 9 20 8 33
47,4 2 3 15 14 20 96 38 25 19
54,2 4 1 6 19 8 3 20 22 11
73,3 2 1 4 15 6 21 10 9 8
88,4 2 1 3 6 8 99 20 41 60
89,2 3 4 1 6 35 8 10 138 15
95,4 1 2 6 44 3 20 15 26 16
100,2 4 3 6 15 8 11 99 14 9
101,2 3 4 82 1 31 5 282 41 20
102,1 2 3 6 15 14 20 41 9 31
104,2 4 1 3 9 6 8 20 19 11
114,2 1 5 17 4 6 9 27 50 37
124,4 1 3 34 8 94 20 14 41 9
127,2 40 41 4 39 11 55 14 35 8
138,2 11 1 3 4 6 28 8 15 17
145,1 3 6 8 19 22 14 20 56 28
152,4 2 1 6 8 15 9 22 26 45
178,1 2 4 3 14 19 20 11 31 41
189,4 6 94 88 14 20 44 9 51 32
202,2 1 40 39 6 8 9 76 19 66
208,4 2 6 22 20 41 39 9 14 58
226,4 1 8 19 9 15 22 24 33 31
251,4 2 3 8 20 19 33 14 60 26
253,2 3 20 14 22 9 33 15 44 48
256,4 2 1 8 6 20 9 19 14 95
259,4 2 6 3 8 14 19 9 20 45
279,2 4 1 6 3 15 8 14 112 30
290,34 4 2 1 6 8 36 51 41 31
292,3 8 20 14 35 48 31 41 39 40
301,31 39 4 3 2 1 58 6 8 20
312,2 4 1 3 6 9 8 14 15 41
323,4 1 45 3 6 22 8 19 9 33
340,2 4 3 1 6 8 9 15 14 41
343,3 4 76 6 9 20 8 15 10 19
346,1 2 20 14 9 17 22 16 44 33
374,4 2 1 6 3 44 16 14 15 19
386,3 6 9 8 19 14 20 22 11 35
407,4 2 6 3 44 15 20 14 19 26
418,36 3 2 4 1 6 101 10 8 9
421,6 4 1 14 3 8 20 15 26 106
422,4 1 2 208 3 8 6 15 344 34
427,1 6 4 15 8 14 9 20 11 19
433,1 8 3 2 6 44 20 19 25 16
443,4 2 6 1 8 3 20 14 26 22
444,4 2 1 6 9 3 8 20 14 19
458,41 2 4 1 34 8 9 20 14 36
459,4 1 3 6 9 8 20 116 19 14
463,2 4 1 3 6 20 8 17 14 31
467,4 2 6 3 8 14 24 15 9 20
477,1 4 2 6 3 11 8 14 9 17
499,1 3 6 8 11 20 14 15 33 48
511,3 40 39 1 8 6 20 15 9 22
512,4 2 1 9 6 3 22 19 20 8
529,4 2 6 3 1 8 14 15 26 9
553,4 3 1 41 39 6 9 20 15 60
554,1 4 6 3 8 14 9 19 11 26
565,3 2 4 112 1 6 8 15 9 11
579,4 6 1 2 14 8 3 26 15 9
598,1 2 4 6 3 14 19 8 9 36
615,1 4 6 3 19 8 9 14 15 20
617,1 6 8 34 14 15 22 25 41 33
621,2 4 1 3 15 6 8 51 9 14
627,8 3 20 14 9 33 25 11 15 45
632,1 8 2 3 20 19 25 22 15 26
644,2 1 4 8 3 6 11 19 15 14
656,6 3 31 14 9 20 39 19 22 58
659,31 3 1 55 6 20 22 8 19 35
660,8 1 2 6 3 34 14 25 19 51
677,1 4 6 3 9 8 41 40 11 39
686,3 2 4 1 6 15 8 10 9 14
695,4 1 3 9 6 15 8 35 11 20
701,2 1 6 3 19 9 25 22 16 15
708,2 1 3 9 6 19 20 22 33 14
712,2 6 4 1 3 15 88 8 51 36
716,4 2 3 6 20 8 19 14 41 31
725,2 1 3 6 19 8 33 35 14 45
735,1 3 8 14 19 9 48 24 58 55
737,6 2 3 14 15 20 19 9 38 26
763,1 2 6 3 8 20 9 15 60 26
787,4 2 3 6 8 35 19 20 14 56
789,4 3 2 41 58 6 20 9 19 66
829,4 2 1 6 3 8 20 14 9 19
831,2 1 4 9 55 20 15 19 11 76
847,3 2 4 1 15 11 17 9 40 41
894,2 4 3 1 6 9 133 41 31 146
900,31 3 4 9 6 35 15 56 20 14
901,4 1 6 3 20 22 19 14 9 33
902,2 1 4 6 11 41 31 9 40 39
920,39 58 2 55 4 1 76 9 6 20
921,9 19 20 22 15 25 24 33 31 28
940,2 3 4 1 9 6 35 8 15 41
946,4 2 1 3 6 8 20 14 15 112
947,1 4 3 6 9 19 5 11 14 20
965,2 3 4 1 15 9 6 41 8 32
969,39 2 3 58 4 1 15 8 9 14
971,9 1 6 11 32 41 39 5 31 20
978,4 2 1 22 6 3 20 33 8 19
988,2 3 4 1 58 55 15 8 35 20
989,2 4 1 6 39 40 58 20 55 14
993,3 8 19 20 24 22 9 11 38 15
994,3 1 55 22 20 6 9 19 8 76
1007,4 1 8 9 19 15 33 24 11 31
1010,4 1 6 44 20 9 14 15 16 25
1014,2 3 1 4 6 15 8 14 41 20
1017,34 4 96 138 3 2 1 6 8 15
1022,1 3 20 33 25 44 26 48 56 28
1024,3 4 2 96 1 6 8 182 15 9
1026,2 3 1 9 6 8 20 41 31 19
1032,4 1 2 32 6 19 9 22 14 182
1036,3 4 1 41 40 39 6 9 20 8
1042,2 4 1 8 41 31 40 39 35 20
1050,4 1 3 9 55 6 17 8 22 14
1051,6 20 14 9 33 48 44 26 16 31
1057,40 55 58 2 4 3 1 76 6 8
1059,2 1 8 6 9 31 41 39 40 99
1062,2 4 1 6 17 20 11 48 9 8
1069,2 6 9 8 35 19 14 20 11 22
1070,1 2 4 3 14 8 9 15 11 20
1082,2 4 1 6 3 8 15 14 20 19
1083,4 2 1 3 9 6 55 35 22 19
1100,2 1 9 4 17 6 35 37 50 14
1107,2 4 1 6 9 20 8 22 33 19
1108,1 3 14 20 19 22 15 9 24 48
1110,2 3 1 4 35 6 8 11 41 10
1111,3 2 4 1 6 9 22 33 8 17
1116,4 2 1 8 3 14 20 19 22 25
1118,2 4 8 15 3 6 1 14 112 10
1123,2 1 6 8 9 20 19 22 5 14
1138,4 2 6 3 8 19 9 22 33 148
1144,2 41 4 40 31 1 39 58 55 6
1155,2 4 1 6 31 41 40 20 48 39
1175,2 6 3 8 20 60 19 22 9 14
1176,2 1 20 15 19 9 44 25 24 41
1181,2 35 1 3 4 6 41 11 40 39
1195,36 1 4 6 3 2 101 8 85 112
1198,4 6 2 1 14 3 44 20 25 19
1200,2 4 1 3 9 6 8 35 14 56
1203,3 2 4 1 6 14 8 112 30 41
1213,1 2 4 8 19 11 14 17 20 9
1250,2 1 6 9 20 19 48 31 8 40
1259,2 3 4 11 6 15 17 14 19 8
1260,1 4 2 6 15 44 9 11 16 41
1263,4 1 6 2 8 31 9 41 40 20
1266,2 4 3 14 8 11 19 20 22 95
1273,1 4 3 2 32 6 15 8 138 51
1288,39 2 1 32 6 8 76 34 15 9
1290,4 1 6 8 19 20 14 15 9 22
1299,41 40 55 2 76 4 1 9 6 15
1300,4 41 9 40 20 22 14 58 5 35
1305,2 1 4 3 11 19 9 20 45 28
1307,2 4 1 3 6 8 15 14 9 25
1308,2 41 31 3 1 9 58 6 76 139
1323,1 3 8 14 11 9 19 20 10 26
1327,2 4 1 6 15 3 8 9 14 26
1332,2 4 1 139 3 8 14 9 22 20
1334,4 6 2 3 8 14 36 20 35 19
1340,4 2 3 6 31 9 41 39 8 20
