user_id,item_list
1,101 36 403 515 506 977 1546 869 922 3311
2,1095 47 28 50 11 136 37 277 12 5
3,956 59 584 259 536 857 648 414 4252 2748
4,28 50 249 145 136 277 5 363 639 122
5,1570 5138 77 116 148 7033 175 278 9039 170
6,886 8 9 81 108 16 44 131 6 229
8,210 443 722 600 451 80 1749 174 480 1683
9,9018 17799 20151 12741 10108 20079 21322 8133 15289 2821
10,1446 1816 1668 2617 1767 561 3905 2565 2423 3721
11,40 58 31 955 52 185 514 44 486 99
12,4704 2582 408 329 16291 2781 799 2242 261 2150
13,1316 11016 10234 9817 9813 11747 12372 11048 2403 10949
14,90 571 28 51 17 50 37 27 107 345
15,236 1107 308 220 389 326 6957 837 1290 828
16,617 946 1692 1463 1346 3834 7 394 9752 29
17,98 43 44 19 80 57 198 16 4 229
18,617 255 332 179 596 766 3226 946 192 1258
19,764 636 252 3571 639 1146 9442 8473 154 8044
20,467 573 376 313 242 129 764 279 636 134
21,152 405 1111 458 615 873 484 3362 786 246
23,1279 2295 6111 8444 3351 10348 1290 9318 6066 754
24,15801 9953 21840 12744 8516 18934 14701 13156 8432 8737
25,18088 19548 13332 11675 8963 14259 11486 1309 17989 4778
26,1089 269 41 1256 254 966 139 612 474 1788
28,47 11 19 136 843 37 41 39 325 33
29,28 47 627 17 50 681 27 145 42 77
30,23 17058 12 57 9 17 17056 27 71 160
32,1393 379 2734 2316 1986 550 2418 418 12332 8924
33,4904 11199 1510 1807 6937 10636 10564 10437 21940 220
34,365 10001 888 8930 3317 567 962 12739 1159 8934
35,254 314 996 1079 139 1824 1081 146 1212 165
36,4 6 202 283 16 131 44 181 114 227
38,101 11 161 14 403 354 85 4 7 506
39,304 378 736 497 437 644 593 134 428 279
40,31 58 17 47 76 42 145 3 136 253
41,31 58 55 486 592 618 449 68 1083 78
42,5744 249 252 299 1369 132 4 1310 763 1254
43,238 372 683 149 541 36 1369 135 224 21
44,843 133 350 1006 996 554 606 563 171 139
45,783 1230 413 202 1399 3107 3701 3788 3868 1757
46,2253 4116 5625 1747 4126 21763 16336 417 24 456
47,214 96 211 1635 38 344 232 230 1651 262
48,28 17 47 27 37 42 145 136 90 296
49,116 148 138 304 182 309 344 96 32 497
50,177 481 199 67 235 404 238 748 634 278
51,238 919 428 625 678 1014 11 1891 1857 4
52,94 262 133 139 146 314 254 269 1172 3049
53,3970 6472 7075 6471 6273 6277 7516 4819 9043 3687
54,2 19 6 238 174 8 135 278 177 360
55,5255 6617 12798 13878 6095 6941 10578 12491 9587 18909
56,99 1198 1342 2531 3076 262 831 738 116 1
57,160 956 144 104 536 168 648 240 149 310
58,2404 3945 101 13965 433 9815 582 7535 308 699
59,4462 5051 5821 4900 612 1071 1190 1551 415 994
60,20 15 9 8 6 7 3 1 4 2
62,950 411 291 583 905 841 4041 3575 1008 11479
63,1316 1668 80 978 1051 624 4833 4042 3011 65
64,41 5360 3438 7128 6218 379 6260 6527 6204 7481
65,20 15 9 8 6 7 3 1 4 2
