user_id,item_list
1,4849 5957 6560 6571 6925 13753 16667 16971 18301 22325
2,1758 3644 5446 8342 12817 12941 14031 14043 20755 21248
3,1387 3957 5333 6560 8769 13761 14036 17867 20634 22325
4,852 1949 4303 5308 8262 9260 12491 16867 19977 20978
5,1024 5485 6384 7295 12941 13797 13810 14151 16667 16717
6,3841 3856 6506 8952 13102 14372 14875 17932 18402 21256
8,1835 5099 6061 10675 11437 16730 18820 19073 20634 21332
9,1920 4809 8681 9720 10232 13013 17214 19073 20384 20634
10,1949 2246 3894 5047 7432 8827 9551 10362 18750 22158
11,3704 5141 8051 13894 14095 16128 16176 17288 19480 22316
12,2183 5765 10321 11006 13413 17867 19745 21418 21932 22100
13,2503 4284 5874 10763 11453 14527 15104 15999 17589 21498
14,721 990 1337 5602 6506 10636 10778 12216 12668 18687
15,2191 5464 5687 12567 12937 14033 14453 15507 15873 20533
16,835 1024 1706 2953 5019 5957 7575 11505 14683 16667
17,765 4453 5813 6897 7041 10317 12709 13880 20842 22158
18,3678 3681 4378 5487 5656 11664 13608 20926 22292 22343
19,852 2519 2978 4313 5525 6547 13894 14665 17851 20139
20,835 2953 5957 5969 12960 14202 14683 16667 17189 22150
21,829 1365 1640 3853 10108 10596 11220 13161 18183 21084
23,1457 5010 6560 12003 14291 14407 15521 16249 18402 20755
24,2251 4177 5747 9244 11651 12404 13380 16757 17925 19199
25,342 1462 2893 4141 4284 7984 13376 13523 16606 17189
26,2812 3038 3065 6524 7319 13823 15891 16342 17241 17414
28,5157 5957 6595 7984 10118 15557 17296 18268 20083 21699
29,6108 6113 7178 12199 15146 16505 16697 17428 18856 21441
30,695 5047 6477 6506 8827 10317 10362 10398 17589 22158
32,722 3202 5010 6560 6630 7333 7613 8936 10362 14875
33,2530 2825 4028 5560 5643 5710 11753 16123 16937 21842
34,4378 5496 5915 6369 6547 8051 17088 17878 18750 22158
35,554 1214 2893 4396 6489 14031 16780 17748 19948 20051
36,1788 1827 2630 4996 10261 15465 19101 19125 20325 20926
38,3279 3644 4453 4670 9028 9497 11407 12113 13820 14036
39,3504 7055 7527 8063 9126 16342 17589 20051 21108 21256
40,4486 7178 11653 13510 13857 15291 20768 21441 21541 22008
41,1250 1564 6010 10700 12287 15398 16188 17414 17668 22070
42,108 4780 9600 13705 13708 17561 17839 19977 21357 21402
43,61 10404 10876 11651 11999 13413 14202 16660 20775 22100
44,1835 3184 5917 6506 14507 16616 18167 18495 20264 21761
45,5487 5925 9906 10177 10635 10636 15224 16753 18937 21641
46,6010 8114 10283 10700 12675 12958 14026 16188 16750 18944
47,1177 4339 8417 9266 10998 13828 14202 14790 18722 19148
48,4453 5594 6514 6623 6654 12366 15263 17224 21068 22151
49,742 1045 1440 1544 8424 8971 11374 17494 17865 22313
50,2365 4609 9584 12709 13077 14336 14777 17878 18750 22158
51,1235 3768 5058 7052 7206 10108 10596 14837 15735 21111
52,358 1835 2154 4809 5917 9421 17943 19073 19219 21312
53,1788 3294 4670 6876 8455 13810 14549 19565 19888 21938
54,1090 6654 12251 14839 15822 18036 18504 21068 22106 22253
55,2880 4591 11437 12152 14507 17943 20870 21599 21990 22323
56,1083 2191 3269 5957 7575 8694 11999 17686 18301 21932
57,4039 11700 13708 13975 14436 14507 16090 16920 17943 22140
58,254 3805 4425 5485 6616 12370 14356 20518 20870 21001
59,558 2154 2503 4884 8936 11345 11683 17924 20755 21035
60,1 2 3 4 6 7 8 9 15 20
62,5853 5957 6514 8675 11223 12972 13849 14938 16664 18301
63,2549 4396 4937 6243 10089 11589 12948 17189 17802 21441
64,3448 4039 10876 11405 14507 15597 17943 20578 22140 22293
65,1 2 3 4 6 7 8 9 15 20
67,1280 4880 15289 15521 15681 17661 19151 20795 21144 21441
68,2251 5252 6884 7613 10362 13916 14788 16614 20755 20921
69,4066 5710 6010 8696 13161 13823 14524 15511 17517 22131
70,3294 4378 6644 9373 12108 15820 16123 19419 22046 22313
72,958 2262 5487 10966 11362 11664 12060 14032 15202 16920
73,1632 1793 5496 8051 13636 13886 16155 18161 19184 19350
74,448 657 1998 8059 9301 12548 12739 14870 15820 20252
75,55 2806 5458 5485 6286 6616 14470 14993 15175 21098
76,428 4389 5010 7613 11506 13391 13686 15521 22170 22184
77,125 5466 5765 8376 14185 16697 16883 18504 22158 22316
78,1793 9442 13187 15137 15971 17088 19125 19575 20363 21175
79,4296 4326 6378 7999 12883 13667 16128 16281 19205 21667
81,1045 6990 9596 10155 11427 11976 12184 20000 20496 21261
82,2005 6560 6627 7301 7626 9289 10362 14101 14407 22158
83,1835 2716 3742 5917 12611 13413 15700 19106 19111 21219
84,4046 4607 6010 7093 8979 10707 12023 14909 16123 16937
85,4182 5182 5710 6557 10283 10470 11397 12862 13380 15401
86,5333 5957 7301 10399 14336 16320 19274 20062 20084 22325
88,6453 7199 12937 13610 15749 18673 19350 19614 19649 22158
89,914 2812 8063 8118 13823 14419 19398 20257 21228 22313
90,1024 1788 16674 16899 18574 19905 20290 20384 20581 22184
91,958 1843 2406 3768 4780 8749 10636 14032 14507 17960
92,358 2096 4809 5957 10118 11449 17524 19219 19255 20755
93,781 5512 6010 6518 10251 11337 12381 13375 17146 19061
94,1444 2352 8335 8752 10814 11047 11796 12839 15137 18225
95,5465 6506 6630 7286 9126 10362 10636 17589 17932 18402
96,1214 2390 6897 12366 14770 15146 17075 21441 22111 22158
97,708 3449 5213 7041 9028 10106 11749 12113 12502 20384
