user_id,item_list
1,16175 16176 16854 17433 17480 17670 17674 18145 18261 21466
2,14765 14767 15878 16158 16175 16176 16854 17433 17480 21466
3,8840 8906 9021 9101 9145 9399 9495 9518 9523 21466
4,14767 15878 16158 16175 16176 16854 17433 17480 17670 21466
5,4377 4385 6233 7875 10332 10385 11182 13021 16036 21466
6,10048 10137 10239 10860 11605 11626 11863 11896 12212 21466
8,10137 10239 10860 11605 11626 11863 11896 12212 13304 21466
9,8671 8698 8840 8906 9021 9101 9145 9399 9495 21466
10,19874 20090 20092 20275 20358 20429 21306 21405 21466 21564
11,15878 16158 16175 16176 16854 17433 17480 17670 17674 21466
12,1308 1648 1969 3844 7189 10866 11556 12121 15744 21466
13,2328 4377 4385 6233 7875 10332 10385 21405 21466 21564
14,16175 16176 16854 17433 17480 17670 17674 18145 18261 21466
15,10137 10239 10860 11605 11626 11863 11896 12212 13304 21466
16,9021 9101 9145 9399 9495 9518 9523 9668 10048 21466
17,8906 9021 9101 9145 9399 9495 9518 9523 9668 21466
18,9145 9399 9495 9518 9523 9668 10048 10137 10239 21466
19,17433 17480 17670 17674 18145 18261 18332 18400 19874 21466
20,8906 9021 9101 9145 9399 9495 9518 9523 9668 21466
21,9145 9399 9495 9518 9523 9668 10048 10137 10239 21466
23,13304 13700 14744 14765 14767 15878 16158 16175 16176 21466
24,8698 8840 8906 9021 9101 9145 9399 9495 9518 21466
25,8670 8671 8698 8840 8906 9021 9101 9145 9399 21466
26,2338 2927 3266 3360 3558 5034 5087 5142 6122 21466
28,15878 16158 16175 16176 16854 17433 17480 17670 17674 21466
29,9668 10048 10137 10239 10860 11605 11626 11863 11896 21466
30,9021 9101 9145 9399 9495 9518 9523 9668 10048 21466
32,8698 8840 8906 9021 9101 9145 9399 9495 9518 21466
33,9518 9523 9668 10048 10137 10239 10860 11605 11626 21466
34,9523 9668 10048 10137 10239 10860 11605 11626 11863 21466
35,9021 9101 9145 9399 9495 9518 9523 9668 10048 21466
36,3101 5043 5400 8726 11182 13021 16036 17175 18224 21466
38,10137 10239 10860 11605 11626 11863 11896 12212 13304 21466
39,17670 17674 18145 18261 18332 18400 19874 20090 20092 21466
40,3406 6356 6958 6989 8031 8318 10719 13323 13324 21466
41,9145 9399 9495 9518 9523 9668 10048 10137 10239 21466
42,10137 10239 10860 11605 11626 11863 11896 12212 13304 21466
43,9495 9518 9523 9668 10048 10137 10239 10860 11605 21466
44,9145 9399 9495 9518 9523 9668 10048 10137 10239 21466
45,10137 10239 10860 11605 11626 11863 11896 12212 13304 21466
46,15878 16158 16175 16176 16854 17433 17480 17670 17674 21466
47,2596 3527 4434 4463 4882 5043 5400 8726 21329 21466
48,9495 9518 9523 9668 10048 10137 10239 10860 11605 21466
49,17433 17480 17670 17674 18145 18261 18332 18400 19874 21466
50,8840 8906 9021 9101 9145 9399 9495 9518 9523 21466
51,3101 5043 10332 10385 11182 13021 16036 17175 18224 21466
52,12212 13304 13700 14744 14765 14767 15878 16158 16175 21466
53,8670 8671 8698 8840 8906 9021 9101 9145 9399 21466
54,8840 8906 9021 9101 9145 9399 9495 9518 9523 21466
55,8671 8698 8840 8906 9021 9101 9145 9399 9495 21466
56,2596 3101 3527 4434 5043 5400 8726 18224 21329 21466
57,12212 13304 13700 14744 14765 14767 15878 16158 16175 21466
58,16854 17433 17480 17670 17674 18145 18261 18332 18400 21466
59,2328 4377 4385 20275 20358 20429 21306 21405 21466 21564
60,1 2 3 4 6 7 8 9 15 20
62,14765 14767 15878 16158 16175 16176 16854 17433 17480 21466
63,13304 13700 14744 14765 14767 15878 16158 16175 16176 21466
64,779 945 2775 10163 12531 14895 16416 18623 20847 21466
65,1 2 3 4 6 7 8 9 15 20
67,2596 3101 5043 5400 8726 16036 17175 18224 21329 21466
68,17674 18145 18261 18332 18400 19874 20090 20092 20275 21466
69,9399 9495 9518 9523 9668 10048 10137 10239 10860 21466
70,10230 10263 11018 11330 12758 15444 16578 17134 18473 21466
72,11863 11896 12212 13304 13700 14744 14765 14767 15878 21466
73,10137 10239 10860 11605 11626 11863 11896 12212 13304 21466
74,9523 9668 10048 10137 10239 10860 11605 11626 11863 21466
75,8021 8329 8420 8464 8496 8954 9224 9401 9448 21466
76,8894 10074 10230 10263 11018 11330 12758 15444 16578 21466
