user_id,item_list
1,101 36 403 506 515 123 977 637 869 694
2,1095 2 47 1522 50 196 28 11 3 3176
3,59 4252 259 239 857 584 536 956 511 648
4,28 249 50 7 145 1 136 139 4 129
5,4 1570 51 5138 7033 1220 1511 9039 7 9582
6,886 2 3 6 8 874 395 19 184 546
8,210 600 443 3916 760 722 451 1155 480 1683
9,9018 20079 2282 17799 13038 10108 15289 17106 9858 2821
10,1816 561 1446 1668 2617 3905 2423 2565 1767 3721
11,40 31 58 4 203 93 955 34 99 214
12,4704 2582 261 799 2 329 408 353 325 1090
13,1316 11016 10234 9813 9817 11747 1875 11048 5996 11174
14,164 297 2909 1 1050 90 107 571 6 1496
15,236 308 6957 1107 707 82 837 624 1662 1290
16,7 617 3 946 1463 1346 9752 1692 29 394
17,43 4 98 44 16 57 19 198 11 80
18,332 2 255 766 179 3226 284 973 192 4
19,252 3571 764 636 9442 8473 8044 9482 10660 154
20,467 376 313 573 134 129 242 279 764 267
21,152 405 873 1111 458 615 5 786 2 12470
23,1279 2295 6111 8444 236 9318 3351 282 10348 82
24,179 15801 1193 3279 21840 2713 13156 2631 11637 21332
25,51 107 18 1309 485 18088 11929 290 19548 1873
26,139 254 269 314 1089 165 353 474 292 2593
28,47 11 146 171 133 325 139 136 37 843
29,1555 28 516 4688 17 47 125 3906 627 15291
30,17058 17056 23 9 15355 21010 12 160 12028 259
32,379 1393 2316 2734 1986 15 51 1408 18 105
33,4904 1510 11199 1807 4 6937 10564 435 10636 264
34,434 888 202 3602 10001 17462 365 6219 17480 8930
35,139 254 314 146 165 996 316 474 1079 1081
36,4 3 44 16 6 103 181 202 48 2205
38,101 161 4 403 354 2 710 4360 439 5843
39,1057 304 378 101 36 8 139 736 437 161
40,31 17 47 4 58 42 76 3 19 174
41,31 55 58 486 592 618 605 77 66 148
42,5744 4 10 1310 4013 249 252 132 13522 8
43,149 238 15 8 35 104 36 168 9 372
44,7 439 81 499 215 14175 267 14550 16540 18739
45,19 80 413 202 783 1230 1206 4030 1736 15
46,2253 4116 19 4126 20 1505 24 5625 228 174
47,214 38 211 96 1635 232 344 230 262 1651
48,6 28 27 17 47 332 7 2 68 37
49,148 116 32 182 138 96 304 3 5 309
50,177 199 67 481 748 238 235 634 1043 404
51,428 4 238 919 625 678 1014 1892 250 2
52,94 438 133 178 262 2986 146 139 498 81
53,3970 859 7075 6471 6472 6273 3687 4819 6277 720
54,19 2 4 238 278 174 6 8 769 1
55,5255 12798 6617 6286 13878 6095 6941 12491 10578 4581
56,106 1198 99 384 1342 262 831 1 4 647
57,160 536 648 104 956 144 117 168 319 159
58,2404 101 36 161 3945 13965 308 9815 433 7535
59,353 612 415 1190 1071 1551 261 4462 994 93
60,1108 544 354 237 205 222 133 15 161 16
62,411 291 135 278 583 85 1008 67 841 905
63,1316 1668 20 2 4 34 80 94 978 624
64,379 41 7128 36 6260 5360 5 1962 1483 5189
65,1108 544 354 237 205 222 133 15 161 16
67,6203 739 181 205 267 2 23 871 6 28
68,281 96 138 1994 3373 324 1151 344 67 250
69,19 46 4 6 1227 25 1372 22 33 1095
70,2 19 1 67 413 135 614 757 33 177
72,7454 7169 9653 10901 10910 8620 6479 41 39 58
73,125 516 21 10057 2660 998 4252 1728 1482 580
74,11 47 27 42 37 815 1641 145 136 4
75,56 184 19 319 9 570 803 80 124 1899
76,308 66 805 77 1716 2401 1477 697 754 936
77,7 19 1 285 4110 3 600 443 682 1903
78,546 7212 14083 5 4099 19103 238 6 2 155
79,138 66 77 208 171 318 254 146 344 139
81,8 7600 2599 135 4 9404 67 1999 44 22
82,55 76 3 4 49 181 33 486 20 542
83,1083 1214 1288 308 486 58 76 117 40 41
84,411 583 4 1497 1537 905 2243 1991 33 4872
85,60 116 41 31 39 304 458 378 405 615
86,154 398 267 28 457 156 17 786 102 1326
88,139 133 346 1089 99 11531 146 563 1222 318
89,138 10 324 12672 12673 154 15014 344 15015 59
90,64 98 21 13 9 109 2006 57 154 144
91,2 82 915 1406 104 4 168 884 1438 90
92,1346 19606 21604 16396 9984 14340 9622 6883 6970 471
93,95 220 768 1024 537 28 191 17 532 901
94,28 11 42 51 87 498 1020 21 37 365
95,482 2456 44 9329 4627 4 3294 2178 173 726
96,72 766 1264 4 617 483 1346 394 118 601
97,654 7949 494 1777 7604 4 2538 14047 21739 3538
98,7839 8688 11765 13600 21 29 3 7 13494 10
99,64 96 138 57 527 995 204 356 877 159
100,313 764 636 99 6 2 119 10 1050 63
101,82 837 754 2314 624 1290 1051 2946 526 282
102,2843 2904 2284 2147 2283 2585 3208 2958 7055 1795
103,694 1481 8 4 901 3 98 1737 155 19
104,119 299 252 2 23 305 639 4 71 129
105,8752 6820 19078 18668 21 6804 9257 2218 8285 196
107,39 3 55 4 313 467 376 430 573 51
108,585 147 32 689 708 2075 1163 2106 182 1443
109,51 87 13777 1 131 2 4 1975 205 1557
110,82 58 428 76 755 1213 983 770 600 2416
111,59 95 536 584 414 648 220 956 326 389
112,2603 3692 15 498 365 6901 3300 105 101 2687
113,9 104 168 56 184 224 149 240 1391 310
114,5 17 27 7236 575 5427 42 37 2 50
115,1511 4 121 2700 6 81 1220 286 44 2436
116,15 101 161 354 403 6022 16983 4778 3594 8641
117,88 72 87 339 217 179 1927 176 107 131
118,7 112 3 30 759 4031 18 85 298 6707
119,102 1433 300 416 267 197 179 6 1336 3
121,1971 2729 10283 2886 3659 2575 6432 3134 4807 13095
122,28 3134 3659 17 27 1207 4051 936 1 19
123,33 73 65 4 103 8 80 115 163 20
124,1342 715 346 94 1198 859 34 1704 2590 1387
126,8755 766 6026 7521 7522 5585 6276 11146 6280 131
127,618 40 39 41 2 55 11 47 42 828
128,28 11 42 50 9266 145 213 814 37 277
129,585 147 708 1722 2013 1443 1960 14172 31 4154
130,148 116 175 593 736 378 831 766 207 644
131,55 6967 198 939 2 159 81 51 17 50
132,133 171 316 474 335 139 563 843 269 254
134,4 2 80 186 56 104 144 65 174 184
135,2 4 132 14 48 446 1 566 15 891
136,8740 9766 12435 2303 10399 2 10950 5474 1425 17180
137,2 313 1 376 157 467 430 22 4 573
138,117 120 28 11 47 50 17 3898 500 1670
139,56 22 144 31 58 224 6 33 103 170
140,4 16 44 25 51 215 6937 21940 28 95
141,624 5 8 27 253 28 40 17 1440 31
142,7 2 40 39 58 41 94 8 55 202
143,1573 569 17 638 28 2724 1536 564 745 451
144,35 9 2981 168 144 3299 184 133 149 224
145,56 144 8 184 28 47 149 42 240 224
146,38 514 520 1 230 285 93 214 203 603
147,1 2 22 33 48 71 9 17 13 91
148,1817 265 20 4344 279 1750 116 66 60 1666
149,2 17 1 7 37 16450 27 47 16527 42
151,1207 936 281 716 621 754 1290 1067 1405 2
152,45 2 80 4 85 389 320 159 326 886
153,17 27 42 37 145 136 277 679 363 14
154,58 55 76 135 634 2 1083 481 177 238
156,42 451 37 760 136 564 691 824 124 638
157,17907 17895 17896 6725 7027 6197 17889 6428 17891 17897
158,19 33 1 20 65 35 103 95 250 8
160,22 33 2955 141 73 65 134 48 163 72
163,5 3259 1098 71 436 86 44 2077 2170 89
164,4 44 72 268 61 339 519 1 2599 20
165,3476 555 3537 10197 2841 3870 6759 2832 12594 5542
167,33 48 20 4 103 19 1 141 80 319
168,1108 544 354 237 205 222 133 15 161 16
171,28 11 47 433 13 43 1 145 98 17
172,40 3 76 102 5 300 280 32 416 425
173,320 585 2013 2106 708 2075 262 1163 1960 1443
174,154 298 11515 4031 1405 162 287 7682 9988 1393
175,4 10 20 305 990 390 82 2149 8 1
177,27 145 136 4 277 20 33 220 1 8
178,1 2 112 3 1232 161 4 68 128 71
181,512 1321 1304 1899 1019 1932 2255 3030 2151 3491
182,28 27 11 42 145 37 277 5 679 363
183,16596 9741 7 6 3 19084 14100 1389 4252 3972
184,47 27 50 1 42 2 220 145 37 326
185,901 2326 1737 19 3872 960 1706 2256 292 890
187,17 28 11 399 139 171 5 145 201 37
188,2791 3537 3407 7145 2702 2072 8229 808 1032 1253
189,4057 94 5332 1198 2582 88 2163 5806 38 159
191,2963 262 738 1172 2577 6588 9240 392 8 2150
192,1057 24 154 51 4 2 5 3372 446 7900
193,494 2053 123 2023 1763 3976 22 33 4775 3303
194,21332 1159 21 812 131 4066 4102 3190 109 15
196,509 3750 186 910 1846 1054 1966 712 171 5186
197,242 467 430 152 615 573 873 471 1111 938
198,36 161 511 375 403 857 750 354 523 1073
199,5523 34 94 99 2163 8160 738 2127 3122 4805
200,3 10 9 15588 50 2989 1818 225 1681 112
201,4 141 1 174 48 22 20 33 424 660
202,101 59 96 320 585 2424 2 540 414 40
203,4066 21332 8765 9250 4662 15801 9528 8993 12798 2713
205,4 22 33 2201 8437 8417 12243 9944 9405 9943
206,981 851 1568 117 15023 17685 332 192 500 159
207,4 238 72 6 278 1897 1931 135 24 14
208,2 22 4 837 39 41 20 45 978 58
210,433 399 582 261 476 316 292 171 474 350
211,323 214 603 211 1296 230 154 3189 278 250
212,51 365 1790 712 107 642 11 4 298 7
215,1210 2355 1519 3090 505 1938 2202 2841 3645 551
216,510 985 10 957 500 160 800 62 113 1375
217,35 144 56 184 168 258 240 9 310 319
218,43 109 57 16 348 123 262 87 879 88
219,107 4 81 284 88 43 29 3 247 21
220,4252 7 380 137 7608 12798 6286 13878 68 54
221,883 5 71 23 294 2231 5899 4987 7792 3068
223,20 903 84 732 4 3372 19 4727 33 6935
225,250 238 67 278 541 395 781 481 404 385
226,1555 54 19 68 1 4 10902 48 132 43
227,116 175 22 20 304 309 378 170 103 115
228,4 189 61 74 75 519 16983 4778 3594 5357
229,2 19 1899 1230 170 1321 22 36 132 48
230,759 108 694 2730 1203 3236 3612 551 10537 1266
231,85 28 42 50 15 88 107 202 37 136
232,4 41 39 40 31 76 2 6 20 19
233,1 476 2208 96 208 1267 182 3214 19 6
234,11 47 37 136 145 28 50 27 42 774
235,55 98 43 664 51 64 198 5 486 342
236,116 175 304 12877 437 736 309 593 378 9809
237,1112 1028 10902 786 1283 1728 4020 998 739 8
238,80 4 2 1 174 157 20 33 48 22
239,390 89 1488 3620 4941 3162 3616 2007 82 3590
240,119 2689 496 2913 433 2057 3460 399 3533 476
241,10 4567 425 687 79 5 482 9 1027 423
242,4900 17628 5216 10897 13333 14537 5821 17641 13334 3980
243,8 25 1191 1422 2453 3198 1481 3162 3620 19063
245,1 2657 6 1093 93 203 19 214 45 211
246,13521 1512 5039 21637 19004 2 4 9172 5131 10218
247,56 168 184 149 382 310 288 570 373 319
248,6 4 1 19 26 46 2 72 8 30
249,39 55 3 486 342 6043 1922 11934 18469 9277
251,4 2 33 147 1020 929 60 585 116 175
253,2 1636 701 14996 10 80 2103 4840 22 4627
254,261 329 139 612 48 1005 994 1259 1620 415
255,2386 20 4267 24 145 136 828 1051 132 73
256,95 220 537 191 60 66 8 621 997 4
257,681 2 955 20 80 170 33 1 702 174
258,585 1722 689 1041 907 389 4539 1367 10 2106
259,45 4 191 5 621 537 389 1067 1737 27
260,1 20 22 80 8 33 2 216 45 157
261,1108 544 354 237 205 222 133 15 161 16
262,50 136 56 5 104 6 184 277 240 382
263,6 8 1464 825 1 1197 1019 19066 7813 67
264,767 5180 1820 8 36 8933 3253 20390 4409 1476
265,1 2 4 5414 173 4567 739 571 10 14
266,2721 10642 2039 18356 223 22101 178 4127 19199 22262
267,158 7 10 2 2513 379 1123 559 51 287
268,6551 7900 4100 3372 9843 16672 325 261 733 630
269,17 28 27 50 42 122 532 35 104 168
270,39 58 3 401 486 596 813 255 342 1099
271,59 160 259 584 451 648 536 956 685 569
