user_id,item_list
1,36 101 403 123 506 515 694 254 44 1546
2,1095 47 11 28 1522 196 12 656 3176 50
3,59 239 857 259 4252 9 511 1281 584 536
4,28 249 50 7 139 639 171 254 612 314
5,1570 131 5138 77 116 7033 95 8664 148 1220
6,886 874 184 88 35 9 104 168 395 14
8,210 451 443 600 480 3916 722 1130 760 1749
9,9018 2821 17799 316 10108 5724 7056 2282 6197 6415
10,1816 1446 561 2617 1668 2423 2565 3905 3721 1767
11,40 31 58 955 93 514 67 645 203 188
12,4704 2582 261 2242 329 2781 5025 262 353 408
13,1316 9817 10234 11048 11016 11747 9813 12372 2403 11174
14,1050 164 297 571 1244 930 2671 90 1076 2909
15,236 6957 308 13250 220 983 624 707 9429 1107
16,7 617 9752 1569 29 3198 946 10226 1463 2868
17,43 98 19 11 80 17 4 50 44 47
18,332 255 179 2 766 13555 3226 973 192 596
19,3571 764 252 9442 8473 8044 636 9482 154 10660
20,467 313 376 129 242 573 134 279 10 482
21,152 405 2 1111 786 458 14140 442 7987 189
23,1279 2295 6111 3351 8444 282 10348 754 1290 236
24,4937 18934 3852 13156 2247 22124 7562 10595 19360 13803
25,11724 22011 4269 3594 16983 5357 4778 16677 11236 8641
26,254 139 269 314 612 353 292 2593 1005 165
28,11 47 146 133 325 41 39 139 843 19
29,1555 28 4688 17 47 50 27 627 6480 681
30,17058 17056 15355 2459 160 21010 23 259 12028 4966
32,379 2316 51 1393 2734 1986 418 2418 1946 4269
33,4904 1510 435 1807 264 95 496 11199 1631 8
34,888 434 3190 8930 10001 1159 6219 812 3381 3602
35,146 314 139 254 165 1939 3847 4593 1079 996
36,16 181 2205 165 379 4 183 139 4901 1393
38,101 161 4360 94 34 11 99 439 262 5843
39,1057 36 101 165 139 318 314 269 8 304
40,31 17 58 47 76 174 19 42 3303 3976
41,31 58 55 592 77 618 66 60 148 175
42,1310 5744 4013 249 3325 252 829 329 1369 282
43,149 35 238 15 104 36 184 372 2996 1369
44,215 499 7 267 81 133 197 447 3978 14175
45,202 15 783 4030 101 3177 10 1736 21 36
46,2253 1505 4116 4126 394 1218 322 1009 2649 7261
47,38 96 214 211 344 262 442 1635 85 929
48,28 17 332 47 296 27 42 1337 4636 7
49,116 148 32 182 138 96 344 5 214 10
50,67 177 199 748 5357 16983 16677 6022 4269 22221
51,428 625 238 919 678 5840 1529 1930 4 1014
52,94 438 133 146 262 2986 1676 498 178 1395
53,859 3970 720 7075 6472 6471 6273 6277 3687 4819
54,19 2 238 8 278 174 769 112 157 600
55,5255 6617 12798 13878 6095 6941 786 6093 1474 10578
56,1198 99 738 384 831 1342 2531 262 3076 2312
57,160 536 648 159 956 117 104 2043 2 144
58,2404 101 3945 36 161 308 433 582 1546 693
59,612 353 261 4462 415 93 1071 38 5051 5821
60,1108 544 354 237 205 222 133 15 161 16
62,85 291 411 8478 154 10683 3575 178 2669 455
63,1316 1668 3011 34 624 4042 4833 978 2403 1051
64,41 36 5360 7128 6260 379 3438 5 5374 6522
65,1108 544 354 237 205 222 133 15 161 16
67,739 6203 181 1619 111 267 3059 2084 871 122
68,281 96 138 324 1994 344 1151 546 3373 67
69,25 1372 1227 14 34 95 99 94 16 1244
70,2 614 67 2741 413 1 5433 135 4361 631
72,9653 7169 7454 8620 10901 10910 41 39 58 76
73,516 2105 125 998 21 580 1728 2660 6535 16614
74,11 27 47 42 815 1004 197 145 1897 1931
75,19 56 184 9 124 1028 14117 20871 19291 1147
76,2401 66 1425 1604 77 308 31 40 11626 1124
77,7 1903 600 285 722 682 771 4110 2217 1038
78,546 7212 14083 2803 4099 82 19103 281 155 535
79,66 138 208 77 171 344 318 1070 254 746
81,7600 1999 9404 2599 22 3150 2578 135 2535 728
82,55 76 49 181 33 1341 23 71 1078 542
83,1083 1214 1288 117 5 837 754 805 1290 510
84,411 583 905 1537 1497 4872 2243 41 31 39
85,116 60 41 31 39 458 909 405 5441 4373
86,154 398 28 17 786 11 27 47 298 42
88,346 133 11531 139 99 1222 1089 60 318 262
89,138 12673 12672 15014 324 15015 344 154 59 12677
90,21 98 2006 3213 1220 1433 104 51 144 35
91,82 104 90 168 915 884 35 5765 1406 144
92,471 147 140 2988 1225 9622 3541 19606 16396 9984
93,95 220 532 17 28 768 537 1024 50 1044
94,28 11 42 498 6 1020 51 2259 874 442
95,482 2456 4 44 2178 669 18638 286 567 494
96,72 766 617 1264 16983 4269 5357 16677 3594 6022
97,7604 1777 654 4 2114 16700 910 2364 5431 171
98,7839 8688 11765 21 29 13600 13494 7590 1704 17162
99,96 138 64 57 117 500 511 995 159 527
100,313 764 99 636 1050 262 851 3947 11 63
101,837 82 2314 754 624 978 1290 390 1051 1177
102,7055 2904 2585 5724 2284 2843 2283 1795 67 3208
103,694 1481 98 901 751 155 43 97 13 53
104,119 299 252 89 23 71 639 112 1146 290
105,8752 19078 6820 18668 3594 4778 4269 16983 5357 22221
107,39 55 313 467 376 430 573 764 51 7
108,585 32 689 182 1 208 147 207 94 324
109,205 1 131 124 395 49 745 164 1975 564
110,82 428 58 600 76 496 755 210 625 443
111,59 95 536 584 414 220 648 389 35 56
112,2603 3692 690 15 498 101 365 105 36 13908
113,104 168 9 184 1391 56 120 913 1805 224
114,5 17 575 50 27 4000 7236 5427 6593 42
115,2700 1511 121 286 1220 4 44 6374 1040 17462
116,15 101 16677 4778 11724 11236 22011 5357 21039 16983
117,88 72 3594 5357 16677 16983 4269 11724 6022 4778
118,7 85 298 4031 21 5052 29 791 84 603
119,102 1433 179 300 7 596 1336 2436 3154 813
121,2729 1971 3659 2886 3134 2575 6432 151 3586 4976
122,3134 3659 28 27 4051 17 347 4807 936 111
123,33 8 256 16 463 424 103 39 2588 952
124,346 1342 859 1198 715 9878 8112 9855 1619 4336
126,8755 7521 6026 6276 7522 766 131 5585 617 6280
127,618 40 41 39 55 42 47 828 624 11
128,11 28 42 50 9266 814 213 999 532 36
129,585 14172 147 21810 10604 15474 17163 58 40 31
130,148 116 593 175 766 831 207 736 18434 14981
131,6967 55 939 159 198 117 510 1930 17 3476
132,133 843 335 4616 474 6989 10719 3041 6356 13324
134,186 56 80 174 4 122 104 201 77 144
135,15 132 446 566 891 763 9188 1 101 22
136,8740 9766 703 265 1425 390 11705 505 10912 2189
137,313 376 467 1 430 157 573 93 1542 38
138,117 11 120 28 17 47 50 1670 27 4922
139,56 31 144 58 76 769 722 22 203 93
140,25 215 6937 28 95 1415 4 16 11 44
141,624 253 5 43 1440 385 219 53 239 3626
142,94 264 40 41 39 58 55 202 10036 871
143,1573 2724 28 17 638 480 47 451 50 27
144,35 9 168 3299 2981 133 3467 254 318 139
145,56 144 16 28 47 122 42 50 261 149
146,38 85 514 93 520 203 120 1757 230 603
147,95 1 44 80 71 174 157 220 389 16983
148,1750 20 1817 265 4344 279 669 1442 7058 8596
149,17 16450 47 50 19258 27 37 220 42 326
151,1207 936 281 621 716 754 1067 1290 191 236
152,45 85 80 389 159 326 886 66 157 320
153,17 27 42 37 145 136 16983 4778 3594 22221
154,55 58 76 1083 546 1214 135 1288 789 634
156,42 451 760 37 12 638 569 775 97 174
157,17907 17895 17896 17889 7027 6725 17897 6197 7030 17891
158,1 33 35 19 250 95 6640 67 220 168
160,2955 327 156 815 134 762 22 141 2130 73
163,5 71 3259 1098 4 44 89 343 2077 352
164,2599 1 4 44 72 155 268 164 728 181
165,3537 3476 555 3870 2841 2638 11593 3789 9270 6309
167,33 48 103 1 35 56 319 149 224 558
168,1108 544 354 237 205 222 133 15 161 16
171,11 13 28 43 98 47 145 1 27 433
172,40 76 102 425 300 979 280 416 19296 165
173,320 2013 262 585 1 203 38 308 93 188
174,154 298 11515 21 1405 4031 287 14 603 2513
175,82 8 990 390 2149 2570 1897 1931 638 163
177,27 145 8 220 389 16 80 431 567 701
178,128 1232 765 112 1 23 56 71 3970 19834
181,1321 512 1899 1932 1019 2151 2255 3602 8930 10001
182,11 28 27 42 145 16983 3594 5357 22221 6022
