user_id,item_list
1,36 3 101 4 1 8 2 6 25 34
2,2 4 3 6 11 8 9 5 28 47
26,3 2 41 15 4 58 9 139 55 6
36,4 6 3 14 15 20 19 22 16 44
41,31 58 55 4 1 6 9 20 8 33
47,4 2 3 15 96 38 25 14 72 20
54,2 4 6 1 19 8 3 20 11 15
73,2 3 21 4 15 1 112 10 8 6
88,4 2 3 1 99 6 8 20 56 60
89,2 3 1 4 138 10 35 6 8 15
95,4 44 2 1 6 3 16 26 15 20
100,2 4 6 3 99 313 15 11 8 14
101,2 3 4 1 82 15 112 6 8 10
102,1 15 6 2 3 67 16 41 31 25
104,2 3 1 4 9 8 6 11 23 10
114,2 17 5 1 4 27 50 37 6 9
124,4 1 3 34 8 94 14 20 32 25
127,2 40 41 4 11 39 55 14 42 5
138,11 2 3 28 1 6 17 15 50 4
145,1 3 8 6 56 19 28 22 14 16
152,4 2 1 6 8 45 15 66 22 26
178,1 2 4 3 14 44 11 19 25 10
189,4 6 94 14 88 44 38 51 9 20
202,2 1 40 39 6 8 96 76 9 66
208,4 2 6 22 20 41 39 9 14 45
226,4 1 8 19 9 15 33 22 48 24
251,4 2 3 8 33 20 19 14 60 24
253,2 3 20 14 44 22 33 15 80 48
256,2 4 8 1 6 9 95 20 19 35
259,4 2 6 3 8 5 14 19 9 36
279,2 3 6 4 112 1 15 30 8 26
290,34 4 2 1 36 6 51 8 41 72
292,3 8 20 14 48 35 17 5 45 15
301,31 39 58 3 2 4 1 6 8 36
312,2 3 6 4 1 112 10 18 15 14
323,4 45 1 6 22 3 8 19 33 9
340,2 3 4 1 6 15 8 26 10 14
343,3 76 4 6 9 10 20 15 8 26
346,1 2 17 20 16 14 44 9 22 28
374,4 44 2 3 1 6 16 15 112 14
386,3 6 9 8 19 14 20 22 11 15
407,4 2 6 3 44 15 14 19 26 16
418,36 3 101 2 10 4 1 6 112 8
421,6 4 1 3 8 14 15 20 26 9
422,208 4 1 2 344 8 3 15 85 6
427,1 6 4 15 14 8 51 11 9 26
433,8 1 3 2 6 25 32 19 15 20
443,4 2 6 1 8 3 14 20 22 33
444,2 4 9 1 6 3 14 8 20 19
458,41 2 4 34 1 8 36 20 9 14
459,4 3 1 6 116 9 8 20 148 14
463,2 4 1 3 6 17 8 20 47 27
467,6 4 2 3 8 14 24 15 90 38
477,1 2 4 11 6 3 8 17 14 37
499,1 3 6 11 8 20 15 14 33 5
511,3 40 39 1 8 15 6 20 9 22
512,2 9 4 1 6 22 19 3 20 8
529,2 3 6 4 112 1 8 14 95 15
553,3 4 41 39 1 6 20 9 32 77
554,1 4 3 6 8 9 14 11 10 19
565,112 3 2 4 6 1 15 8 54 30
579,6 4 2 1 3 8 14 26 15 90
598,1 2 6 4 3 14 9 19 8 36
615,1 4 3 6 8 9 19 17 14 10
617,1 6 8 34 14 15 22 26 25 33
621,2 15 4 6 3 1 51 8 11 14
627,8 3 20 14 33 25 9 11 24 15
632,8 1 2 3 20 19 25 16 26 15
644,8 2 1 4 3 6 11 15 17 16
656,6 3 31 39 14 19 20 9 44 58
659,31 3 1 55 6 20 22 8 19 48
660,8 1 2 6 3 34 51 25 94 72
677,1 4 6 3 9 11 41 40 39 8
686,3 2 15 4 6 1 8 54 10 18
695,4 1 3 9 6 15 35 8 26 20
701,2 1 6 3 19 16 25 22 9 33
708,2 1 3 9 6 19 20 16 22 33
712,15 2 6 3 4 88 1 8 51 81
716,4 2 3 6 20 8 19 14 35 48
725,2 1 3 19 8 6 33 45 146 35
735,1 3 8 14 48 55 58 19 9 24
737,6 2 3 14 15 38 19 16 20 9
763,2 1 6 3 8 20 16 66 60 15
787,2 4 6 3 35 8 56 14 24 19
789,3 4 41 2 58 6 20 9 99 66
829,2 4 1 6 3 8 36 26 19 9
831,2 1 4 55 9 76 11 20 15 19
847,3 2 4 15 1 6 636 10 11 32
894,2 3 133 4 1 146 171 6 9 165
900,31 3 9 4 6 35 56 15 20 14
901,4 1 6 3 20 22 19 25 33 16
902,2 4 1 6 11 27 5 9 31 8
920,39 58 55 2 76 4 1 9 6 138
921,9 19 20 15 22 5 28 25 24 27
940,2 3 4 9 1 8 10 35 6 96
946,2 4 3 1 8 6 112 20 15 14
947,1 4 3 6 9 5 19 11 14 44
965,3 2 1 4 15 112 6 8 9 32
969,39 58 3 2 4 1 15 8 14 25
971,9 1 32 11 6 5 8 17 20 10
978,2 4 22 3 33 1 20 6 65 73
988,2 3 58 55 4 1 35 15 56 8
989,2 40 4 39 1 6 58 55 20 14
993,3 8 19 20 24 38 9 11 22 33
994,3 55 1 22 20 76 6 48 9 8
1007,4 1 8 9 15 19 33 11 24 48
1010,4 1 6 44 16 9 25 14 20 15
1014,2 3 1 6 4 112 15 8 32 14
1017,34 96 138 4 3 2 51 15 8 1
