user_id,item_list
1,101 36 123 52 506 694 515 403 254 592
2,1095 47 12 50 656 28 1522 196 949 102
3,59 857 4252 4 2172 259 648 536 956 584
4,249 28 50 314 171 139 254 146 136 128
5,1570 170 77 95 1511 471 131 5138 135 116
6,886 88 395 9 168 104 874 35 663 229
8,210 443 451 95 722 480 600 80 3916 1094
9,9018 2821 2282 10108 4535 993 17799 4802 2350 6415
10,1446 1816 561 1668 67 2617 2565 2423 3905 3721
11,40 31 58 67 955 99 34 185 32 52
12,2582 4704 212 329 408 261 325 108 2242 1947
13,1316 2403 41 39 376 11016 10234 9817 11747 1875
14,1050 345 297 1244 90 571 28 37 871 1102
15,236 1107 308 388 220 35 707 6957 653 756
16,7 617 29 946 1463 1346 9752 1692 54 1569
17,80 19 43 50 98 11 44 57 157 47
18,332 255 766 192 3226 973 617 164 1013 179
19,154 252 3571 764 236 9442 636 8473 8044 9482
20,279 134 467 573 376 313 242 192 129 482
21,152 405 786 1111 2 873 189 13 580 484
23,1279 2295 82 1290 754 983 3351 6111 236 8444
24,4937 18934 8516 1808 2247 3852 13156 3562 6326 6466
25,485 6105 19548 18088 17605 16677 11236 16983 5357 3594
26,41 252 15 34 99 269 139 1005 292 55
28,47 19 11 325 41 39 136 133 174 843
29,627 28 77 43 1555 60 681 516 116 4121
30,23 57 160 259 71 17058 98 12 1259 17056
32,379 1393 2316 2734 1986 418 2418 1946 1400 1289
33,1510 4904 264 435 496 11199 61 871 1629 1631
34,888 567 1159 434 812 3602 8930 10001 121 5
35,314 254 139 146 1079 996 474 165 3847 1212
36,181 183 16 202 1578 4 2205 445 1825 283
38,101 11 161 4360 28 1022 710 403 4 287
39,8 1057 165 304 36 281 101 378 1 139
40,31 17 58 174 47 76 9 19 2546 201
41,31 55 58 77 618 592 148 175 66 605
42,249 1369 1310 329 252 293 5744 132 829 275
43,238 149 15 1369 36 683 372 21 135 2996
44,499 215 133 267 7 843 457 350 197 289
45,202 21 15 783 1230 101 413 456 3177 62
46,2253 322 22 228 4116 1799 4126 48 1505 934
47,96 214 211 38 344 442 1635 262 154 929
48,28 332 17 47 7 296 37 27 1337 973
49,116 344 148 182 45 138 5 32 96 590
50,67 177 481 748 199 634 143 235 2282 1174
51,238 428 42 625 919 50 28 566 4 678
52,94 438 498 178 81 146 15 133 3049 262
53,3970 859 6472 3687 7075 6471 4819 720 6273 9043
54,19 238 174 2 278 769 112 8 157 6
55,5255 6617 6095 13878 12798 6941 1474 786 10578 2859
56,384 99 1198 116 831 1342 60 66 214 2531
57,160 648 186 582 956 536 159 399 104 2043
58,2404 101 433 582 3945 693 36 308 1546 869
59,93 4462 1190 415 353 214 261 612 5051 5821
60,2 4 1 7 3 6 8 9 15 20
62,238 106 278 291 411 950 3059 791 613 904
63,1316 1668 624 978 1051 65 80 3011 540 4042
64,41 5 36 524 98 97 303 379 161 109
65,2 4 1 7 3 6 8 9 15 20
67,181 739 111 13 23 122 244 6203 445 3039
68,281 96 138 324 178 546 1151 1994 743 344
69,25 95 14 371 1471 1372 597 16 103 22
70,67 413 614 1 541 631 135 33 2 2741
72,41 39 7169 9653 7454 58 10901 10910 8620 249
73,21 125 998 516 1728 112 4252 580 332 109
74,11 27 47 388 42 815 145 1004 1897 1931
75,56 19 184 1028 702 258 191 803 124 80
