user_id,item_list
1,36 52 54 68 101 112 123 183 403 506
2,4 6 8 18 26 47 69 78 102 137
3,59 414 536 584 648 956 999 1097 2718 4252
4,2 3 4 5 7 25 28 53 169 187
5,4 8 26 131 135 215 238 264 381 766
6,3 6 7 11 14 26 88 131 196 229
8,2 4 8 14 24 80 95 210 443 722
9,36 50 227 2159 2282 2346 7151 8802 9018 13038
10,3 10 25 26 50 234 321 498 561 1816
11,2 6 44 52 62 67 167 169 185 597
12,2 6 20 36 38 48 53 183 262 271
13,3 39 55 58 376 1316 1875 2403 3613 11174
14,1 18 29 51 69 90 153 162 345 439
15,3 28 35 56 165 220 236 388 621 1107
16,7 29 54 70 107 180 394 617 1346 1692
17,11 16 37 44 57 67 98 109 198 229
18,2 3 7 61 70 302 394 617 766 1346
19,101 154 252 337 636 639 764 840 928 1273
20,11 102 134 192 267 279 302 562 626 1004
21,1 2 5 152 405 458 484 615 873 1111
23,83 143 169 185 1030 1279 2295 3351 3588 8444
24,7 21 1402 2206 2613 2713 3422 6853 9167 15801
25,10 15 51 78 85 132 183 188 1309 18088
26,2 3 4 15 53 68 102 252 335 350
28,3 8 19 20 24 98 127 151 297 325
29,28 50 77 482 494 516 627 838 979 1555
30,3 9 22 23 43 53 57 71 91 160
32,4 36 51 155 235 379 550 1393 1609 4826
33,2 6 8 12 22 24 25 61 95 177
34,107 155 183 202 434 567 962 1134 1159 2029
35,139 146 254 314 878 996 1079 1081 1212 1824
36,3 29 62 63 78 79 89 222 263 283
38,14 18 38 101 132 161 203 311 523 785
39,1 29 36 70 165 304 378 466 474 644
40,3 17 30 63 69 71 75 78 89 164
41,31 55 58 68 69 79 112 223 466 486
42,2 3 7 8 16 18 26 79 125 132
43,2 15 18 21 36 87 229 235 238 447
44,15 30 54 63 108 155 271 608 676 1325
45,5 10 15 21 30 48 87 109 202 413
46,19 26 30 72 107 151 322 794 2253 4116
47,10 25 38 54 72 96 169 211 214 237
48,2 14 17 28 37 46 47 90 106 1088
49,4 13 45 116 147 148 309 644 746 948
50,2 12 130 143 177 185 481 748 1043 1753
51,2 24 25 200 238 266 400 491 546 566
52,21 53 81 94 133 180 262 391 1172 2867
53,135 859 910 3687 3970 4819 6471 9043 13682 18028
54,2 19 30 112 118 135 174 238 296 360
55,477 500 733 751 1255 2045 4430 5255 12798 13878
56,4 7 20 24 46 84 106 164 221 237
57,104 160 240 288 319 382 450 536 648 956
58,36 101 130 161 308 433 582 699 893 2404
59,38 93 101 183 188 230 261 603 840 1190
60,1 2 3 4 6 7 8 9 15 20
62,15 101 127 156 227 291 431 1515 1785 2669
63,20 80 115 174 190 370 611 672 1316 1668
64,10 18 36 158 161 247 256 305 379 729
65,1 2 3 4 6 7 8 9 15 20
67,7 12 17 23 28 70 79 156 267 416
68,7 25 81 135 178 264 281 336 567 798
69,14 19 25 38 49 95 203 317 389 469
70,10 25 44 67 176 189 245 512 709 1176
72,39 41 58 86 486 7169 7454 8620 9653 10910
73,3 21 51 53 68 109 112 137 169 247
74,2 4 11 27 42 47 136 143 145 197
75,1 18 25 124 218 286 362 387 727 1028
76,31 53 305 390 547 556 578 805 1179 1477
77,7 8 18 46 61 62 125 207 215 315
78,7 25 29 36 69 78 81 88 131 247
79,7 10 14 21 70 138 146 169 208 425
81,45 61 134 181 190 235 396 586 659 1832
82,23 33 55 65 71 73 76 100 486 811
83,3 5 6 7 10 76 500 1083 1214 1288
84,2 3 4 7 24 36 46 110 411 583
85,83 116 304 405 458 615 644 948 1539 2162
86,28 154 156 267 298 300 398 457 786 1004
88,3 54 68 99 101 223 262 271 335 346
89,2 3 10 23 35 69 121 138 154 169
90,21 25 64 75 102 109 130 144 158 672
91,2 5 7 12 38 70 82 90 187 305
92,1 87 192 278 812 1080 1225 1266 4058 17281
93,50 59 95 174 363 814 860 901 1024 1388
94,11 21 28 51 107 180 205 300 365 498
95,2 6 16 26 44 62 74 112 176 339
96,54 72 135 336 394 617 766 1264 1304 1346
97,5 10 18 37 72 114 169 255 425 522
98,3 7 15 21 25 29 121 129 226 474
99,21 57 64 96 204 356 527 877 995 1734
100,6 10 11 14 18 21 63 99 137 313
101,3 22 82 112 121 137 305 707 1477 2314
102,15 29 62 127 130 135 153 180 195 784
103,8 10 16 25 53 69 109 151 155 210
104,1 2 12 23 46 54 69 71 75 84
105,22 30 37 82 128 196 6804 6820 8752 18668
107,6 7 16 21 29 51 61 121 135 196
108,7 32 127 167 182 183 232 256 298 446
109,10 38 79 87 131 191 202 439 446 491
110,58 82 233 390 556 707 884 935 1477 1921
111,35 56 59 95 220 326 414 536 584 956
112,26 81 179 217 264 365 498 642 2603 3692
113,9 104 168 184 224 240 288 372 412 683
114,17 37 50 59 102 137 197 300 321 457
115,4 6 10 14 25 44 75 263 266 1511
116,15 101 337 354 403 506 544 699 785 3224
117,29 87 88 108 117 176 217 656 798 2434
118,7 21 30 112 384 402 677 820 1478 2354
119,7 21 25 62 102 179 197 300 416 725
121,1971 2575 2729 2886 3586 3659 3755 4051 6432 10283
122,21 26 69 89 107 109 245 306 432 651
123,65 73 151 194 370 421 607 667 704 1091
124,14 25 45 51 54 70 108 130 257 346
126,54 87 88 106 131 172 180 394 549 766
127,2 5 11 42 54 79 90 143 402 618
128,11 28 36 42 50 161 277 363 679 730
129,147 176 205 227 262 267 300 416 585 714
130,26 63 116 143 175 396 471 644 766 831
131,2 4 18 25 29 81 162 197 205 338
132,133 139 143 254 269 316 335 474 843 1101
134,2 65 73 83 186 293 362 611 688 1280
135,7 15 21 51 53 101 106 132 763 891
136,2 4 6 9 12 79 130 143 185 223
137,37 53 65 143 153 157 275 444 456 667
138,15 18 54 63 117 120 137 180 608 820
139,3 22 61 65 73 74 78 144 224 234
140,4 16 19 24 25 38 44 95 266 597
141,5 7 8 12 43 53 78 79 128 253
142,2 6 7 62 79 118 151 179 255 453
143,1 7 14 17 28 30 47 78 110 650
144,3 9 35 54 144 149 184 224 240 319
145,1 3 10 29 42 43 53 56 78 144
146,7 44 63 114 118 132 167 183 241 306
147,1 2 3 33 44 74 80 84 95 157
148,21 36 193 256 265 279 466 1436 1817 2751
149,7 25 37 45 62 79 84 220 472 566
151,2 18 54 195 281 608 936 1158 1207 1405
152,6 87 118 153 159 169 183 191 290 608
153,17 27 37 136 145 187 363 679 774 1549
154,13 14 24 58 68 90 128 362 481 811
156,37 42 136 164 363 679 682 730 760 769
157,6 102 130 231 256 289 335 531 1039 1054
158,5 19 20 65 151 176 216 462 507 611
160,22 56 102 134 156 163 169 406 529 762
163,6 16 30 44 62 89 97 308 343 556
164,4 44 79 135 177 190 266 396 519 1832
165,17 24 30 38 463 510 555 574 2841 6759
167,4 9 19 20 33 48 103 142 370 421
168,1 2 3 4 6 7 8 9 15 20
171,6 7 21 25 87 136 145 290 357 1492
172,3 5 29 40 79 104 144 184 196 425
173,21 38 75 133 188 262 320 585 1172 2013
174,7 154 162 206 298 429 508 2375 4031 5099
175,3 14 53 62 78 82 128 151 305 390
177,8 27 122 128 136 145 220 363 679 730
178,2 3 10 18 30 54 56 68 90 112
181,6 21 56 512 1019 1135 1304 1321 1899 3030
182,11 27 28 42 145 277 363 679 730 1549
183,3 7 13 21 36 74 78 177 206 229
184,1 2 3 27 37 47 50 132 145 187
185,38 59 78 115 611 653 733 901 1737 2326
187,5 45 139 165 171 187 201 244 253 399
188,14 178 221 256 263 431 510 800 808 1050
189,10 62 118 130 159 183 423 508 979 1762
191,7 16 62 105 262 392 423 965 1172 2963
192,4 24 38 154 400 446 472 491 891 1057
193,2 4 7 22 33 65 196 448 658 723
194,21 51 81 87 109 131 135 217 247 312
196,2 25 44 118 133 176 186 509 712 979
197,5 8 152 242 430 467 484 615 873 1111
198,36 161 354 403 429 506 511 523 840 1546
199,5 79 143 190 193 383 386 499 734 4115
200,29 53 281 356 357 387 513 559 591 1838
201,53 132 174 200 225 251 297 424 531 1000
202,10 21 30 59 87 101 105 108 274 282
203,7 46 67 131 431 4066 4662 8765 9250 21332
205,4 5 22 45 65 141 157 421 611 688
206,4 6 7 8 26 178 229 851 981 1568
207,6 38 72 135 203 235 238 278 281 481
208,45 53 70 73 89 141 151 225 290 370
210,399 433 488 582 733 780 1276 1752 1853 2626
